scope,activity_id,molecule_chembl_id,scaffold_key,cv_fold,reference_n,maximum_tanimoto,bin,nearest_tie_count,nearest_activity_ids,nearest_molecule_ids,nearest_scaffold_keys
cv_to_other_cv_folds,14761236,CHEMBL38380,O=S(=O)(c1cccc2cnccc12)N1CCCNCC1,1,462,0.2727272727272727,"[0.2,0.3)",1,"[""14765493""]","[""CHEMBL2147033""]","[""O=C1COC2(CCN(S(=O)(=O)c3ccc(-c4ccc5cnccc5c4)cc3)CC2)CN1C1CC1""]"
cv_to_other_cv_folds,14761237,CHEMBL1766793,O=C(Nc1ccccc1)c1cncc(-c2ccccc2)n1,4,467,0.3815789473684211,"[0.3,0.4)",1,"[""14764416""]","[""CHEMBL2152252""]","[""O=S(=O)(Nc1ccccc1)c1cccc(-c2cnccn2)c1""]"
cv_to_other_cv_folds,14761244,CHEMBL1297,c1ccc(Oc2ccccc2)cc1,1,462,0.375,"[0.3,0.4)",1,"[""14759795""]","[""CHEMBL1688458""]","[""c1ccc(OCc2cccc(Oc3ccccc3)c2)cc1""]"
cv_to_other_cv_folds,14761250,CHEMBL72,c1ccc2c(c1)CCc1ccccc1N2,2,467,0.28846153846153844,"[0.2,0.3)",1,"[""14763501""]","[""CHEMBL71""]","[""c1ccc2c(c1)Nc1ccccc1S2""]"
cv_to_other_cv_folds,14761254,CHEMBL129660,O=C(c1cc2ccccc2[nH]1)N1CCNCC1,0,467,0.26229508196721313,"[0.2,0.3)",1,"[""14761233""]","[""CHEMBL495383""]","[""O=C(Nc1ccccc1)c1cc2ccccc2[nH]1""]"
cv_to_other_cv_folds,14761261,CHEMBL496929,O=C(Nc1ccccc1)c1cc2ccccc2[nH]1,2,467,0.41818181818181815,"[0.4,0.6)",1,"[""14762396""]","[""CHEMBL129198""]","[""O=C(c1cc2ccccc2[nH]1)N1CCNCC1""]"
cv_to_other_cv_folds,14761266,CHEMBL1922094,c1ncc(-c2nc(N3CCOCC3)c3sc(CN4CCNCC4)cc3n2)cn1,3,465,0.23469387755102042,"[0.2,0.3)",1,"[""14761202""]","[""CHEMBL1389370""]","[""c1ncc2sc3nc(N4CCOCC4)c4c(c3c2n1)CCCC4""]"
cv_to_other_cv_folds,14761267,CHEMBL1834184,O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)C1CCCC1,3,465,0.2191780821917808,"[0.2,0.3)",1,"[""14765508""]","[""CHEMBL379350""]","[""O=c1ccc2ccccc2o1""]"
cv_to_other_cv_folds,14761271,CHEMBL1689117,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,2,467,0.609375,"[0.6,1.0]",1,"[""14759815""]","[""CHEMBL1689115""]","[""O=S(=O)(Cc1ccccc1)N1CCCN(Cc2ccccc2)CC1""]"
cv_to_other_cv_folds,14761272,CHEMBL1934413,O=S(=O)(Nc1ccnn1C1CCC1)c1ccccc1,3,465,0.9629629629629629,"[0.6,1.0]",1,"[""14762449""]","[""CHEMBL1934414""]","[""O=S(=O)(Nc1ccnn1C1CCCC1)c1ccccc1""]"
cv_to_other_cv_folds,14761273,CHEMBL1289545,O=C(c1cscn1)N1CCOC2(CCN(Cc3ccccc3)CC2)C1,0,467,0.25,"[0.2,0.3)",1,"[""14764371""]","[""CHEMBL841""]","[""c1ccc(C2CCN(CCC(c3ccccc3)c3ccccc3)CC2)cc1""]"
cv_to_other_cv_folds,14761275,CHEMBL393717,O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(N2CCNCC2)c1,3,465,0.7142857142857143,"[0.6,1.0]",1,"[""14762361""]","[""CHEMBL235789""]","[""O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(CN2CCNCC2)c1""]"
cv_to_other_cv_folds,14761279,CHEMBL1807870,O=c1[nH]c2cccc(CCNCCCSCCNCCc3ccccc3)c2s1,4,467,0.6666666666666666,"[0.6,1.0]",1,"[""14764383""]","[""CHEMBL1945041""]","[""O=c1[nH]c2cccc(CCNCCc3cccc(CNCc4ccccc4)c3)c2s1""]"
cv_to_other_cv_folds,14761280,CHEMBL1689124,O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,2,467,0.5633802816901409,"[0.4,0.6)",1,"[""14759815""]","[""CHEMBL1689115""]","[""O=S(=O)(Cc1ccccc1)N1CCCN(Cc2ccccc2)CC1""]"
cv_to_other_cv_folds,14761281,CHEMBL598191,c1ccc(COc2cccc3sccc23)cc1,3,465,0.3898305084745763,"[0.3,0.4)",1,"[""14759977""]","[""CHEMBL282625""]","[""C(=Cc1cccc2sccc12)c1ccc2c(c1)OCO2""]"
cv_to_other_cv_folds,14761283,CHEMBL564535,O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccccc1,3,465,0.5714285714285714,"[0.4,0.6)",1,"[""14762361""]","[""CHEMBL235789""]","[""O=C(NCC12CC3CC(CC(C3)C1)C2)c1cccc(CN2CCNCC2)c1""]"
cv_to_other_cv_folds,14761284,CHEMBL1917422,c1ccc(Sc2cn(Cc3nnn[nH]3)c3ccccc23)cc1,4,467,0.4915254237288136,"[0.4,0.6)",1,"[""14759982""]","[""CHEMBL1917418""]","[""c1ccc(Sc2c[nH]c3ccccc23)cc1""]"
cv_to_other_cv_folds,14761285,CHEMBL380936,c1ccc(CNc2ncc3ncn(Cc4ccccc4)c3n2)cc1,4,467,0.35,"[0.3,0.4)",1,"[""14759901""]","[""CHEMBL1086473""]","[""c1ccc(Cn2cnc3cnc4ccccc4c32)cc1""]"
cv_to_other_cv_folds,14761286,CHEMBL359806,c1ccc(CNc2[nH]nc3cccc(Oc4ccccc4)c23)cc1,0,467,0.546875,"[0.4,0.6)",1,"[""14765344""]","[""CHEMBL407960""]","[""c1ccc(CNc2n[nH]c3ccnc(Oc4ccccc4)c23)cc1""]"
cv_to_other_cv_folds,14761287,CHEMBL280148,c1ccc2nc(-c3ccc(N4CCNCC4)cc3)ccc2c1,4,467,0.40298507462686567,"[0.4,0.6)",1,"[""14761291""]","[""CHEMBL1857945""]","[""c1ccc(-c2ccn3nc(-c4ccccc4)cc3n2)cc1""]"
cv_to_other_cv_folds,14761288,CHEMBL223402,O=C(Nc1ccccc1)NC1N=C(c2ccccc2)c2ccccc2NC1=O,2,467,0.3230769230769231,"[0.3,0.4)",1,"[""14760021""]","[""CHEMBL580""]","[""O=C1CN=C(c2ccccc2)c2ccccc2N1""]"
cv_to_other_cv_folds,14761289,CHEMBL1472189,O=C(Cc1ccccc1)Nc1nc2ccccc2[nH]1,4,467,0.5,"[0.4,0.6)",1,"[""14764505""]","[""CHEMBL210730""]","[""O=C(Nc1nc2ccccc2[nH]1)c1ccccc1""]"
cv_to_other_cv_folds,14761290,CHEMBL370492,c1ccc(Oc2c(-c3ccccc3)cnc3ccccc23)cc1,4,467,0.38461538461538464,"[0.3,0.4)",1,"[""14763455""]","[""CHEMBL1091137""]","[""C(=C(c1ccccc1)c1ccccc1)c1ccccc1""]"
cv_to_other_cv_folds,14761291,CHEMBL1857945,c1ccc(-c2ccn3nc(-c4ccccc4)cc3n2)cc1,3,465,0.40298507462686567,"[0.4,0.6)",1,"[""14761287""]","[""CHEMBL280148""]","[""c1ccc2nc(-c3ccc(N4CCNCC4)cc3)ccc2c1""]"
cv_to_other_cv_folds,14761292,CHEMBL2325704,c1cc(-c2nc(C3CC3)cc(N3CCOCC3)n2)c2cc[nH]c2c1,1,462,0.734375,"[0.6,1.0]",1,"[""14761162""]","[""CHEMBL2325699""]","[""c1cc(-c2nc(C3CC3)cc(N3CC4CCC(C3)O4)n2)c2cc[nH]c2c1""]"
cv_to_other_cv_folds,14761298,CHEMBL174107,C1=NC=NCN1c1ccccc1,4,467,0.16363636363636364,"[0,0.2)",1,"[""14765495""]","[""CHEMBL314034""]","[""c1ccc(Cn2cnc(-c3ccccc3)n2)cc1""]"
cv_to_other_cv_folds,14761299,CHEMBL2153435,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,4,467,0.2823529411764706,"[0.2,0.3)",1,"[""14759988""]","[""CHEMBL1783112""]","[""c1ccc2c(-n3ccnn3)ccnc2c1""]"
cv_to_other_cv_folds,14761302,CHEMBL2181928,O=C1COc2ccc(N3CCOCC3c3ccccc3)nc2N1,4,467,0.25609756097560976,"[0.2,0.3)",1,"[""14762252""]","[""CHEMBL1929039""]","[""O=C1COc2ccc(-c3ccnn3-c3ccccc3)cc2N1""]"
cv_to_other_cv_folds,14761311,CHEMBL1916273,O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1,1,462,0.6557377049180327,"[0.6,1.0]",1,"[""14759894""]","[""CHEMBL1916278""]","[""O=C(NC1CCOCC1)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccccc1""]"
