glomerulus_id,nearest_vessel_id,distance
glom_000,vessel_001,13.812216783009784
glom_001,vessel_005,19.52979879004426
glom_002,vessel_018,83.15865772766345
glom_003,vessel_005,106.66487157541243
glom_004,vessel_014,21.08239124638223
glom_005,vessel_008,74.53071478060822
glom_006,vessel_000,67.1283030730031
glom_007,vessel_008,41.59220505767835
glom_008,vessel_012,0.0
glom_009,vessel_010,46.51842223131379
glom_010,vessel_005,26.6746518109143
glom_011,vessel_006,145.0279757459815
glom_012,vessel_011,127.89533670836505
glom_013,vessel_011,41.077766555163805
glom_014,vessel_018,89.02522689235452
